subject	silence_SVO_first-pass	silence_SVO_progr	silence_SVO_regr	silence_SVO_lookback	silence_OVS_first-pass	silence_OVS_progr	silence_OVS_regrs	silence_OVS_lookback	scr_sem_SVO_first-pass	scr_sem_SVO_progr	scr_sem_SVO_regr	scr_sem_SVO_lookback	scr_sem_OVS_first-pass	scr_sem_OVS_progr	scr_sem_OVS_regr	scr_sem_OVS_lookback	scr_syn_SVO_first-pass	scr_syn_SVO_progr	scr_syn_SVO_regr	scr_syn_SVO_lookback	scr_syn_OVS_first-pass	scr_syn_OVS_progr	scr_syn_OVS_regr	scr_syn_OVS_lookback
1	4334.4	3644	690.4	431	5233	4279	954	377.2	7170	5485.2	1684.8	930.6	6834.2	5432.4	1401.8	825	6038.8	4678.8	1360	442.4	5296.6	4696.8	599.8	970.6
2	4122.8	3412.6	710.2	202.8	3710	2997.8	712.2	221.6	3566.4	2860	706.4	288.2	3014.8	2675	339.8	166.2	2826.8	2647.4	179.4	371	3260.6	2783.4	477.2	610.8
3	3297.8	2981	316.8	0	3104.8	2908	196.8	483.2	4365.2	3028.2	1337	346.4	4339	3460.4	878.6	20.2	3756	3312.4	443.6	30.6	5177	3597.4	1579.6	0
4	4332	2908.8	1423.2	3241.2	3904.6	2550.6	1354	3598	3983.6	2524.8	1458.8	2214.4	3341.8	2520.6	821.2	2262	3577	2296	1281	2625.8	4101.6	2764	1337.6	2772
5	2923.2	2219.2	704	44	3066	2320.2	745.8	69	3382.4	2311.8	1070.6	262	2383.2	1904.4	478.8	89.8	3328.8	2683.6	645.2	17	3312	2555.4	756.6	62.6
6	5199.2	3521	1678.2	568.8	5412.2	3589	1823.2	1029.6	5816	4292	1524	655	5430.4	4330	1100.4	248.6	6167	4060.4	2106.6	463.4	5667	4113.2	1553.8	865.6
7	3369.4	2505	864.4	559	4477	2663.8	1813.2	552	4507	2735	1772	644.6	4886.6	2808.2	2078.4	597.6	4549.111111	2851.111111	1698	654	3906	2544.4	1361.6	378.4
8	4258.6	3235.8	1022.8	884.4	4477.4	3075.4	1402	971.2	4976.8	3561.2	1415.6	871.2	6009.4	4130.2	1879.2	713.2	5161.4	3616	1545.4	1865.2	4634.6	3242	1392.6	392
10	5693	5058.8	634.2	0	5828.2	4686.2	1142	65.4	5227.6	4690.8	536.8	0	5354.4	4693.8	660.6	0	5069.2	3952.4	1116.8	0	4943.6	4100.8	842.8	0
11	4140.8	3613.2	527.6	0	4188.4	3551.4	637	0	4364.6	3432	932.6	33.8	4511.2	3598.8	912.4	57.6	3734.6	3217.6	517	0	4821.4	4137	684.4	40.8
12	4804.4	3230	1574.4	48	5610.2	3945.8	1664.4	298.8	5651.6	3562.8	2088.8	133.2	5092.8	3580.8	1512	178	5490	3755.4	1734.6	196.2	4519	3540.4	978.6	50
13	4372.4	3108.4	1264	909.4	4784.4	3443.2	1341.2	787.6	4838.4	3671.6	1166.8	564.6	4397	3392.2	1004.8	454.6	5570.888889	3446	2124.888889	821.8	5018.8	3295.6	1723.2	681.2
15	6235.8	3645.2	2590.6	249.6	6947.2	4210.8	2736.4	380.2	7409.4	3535.2	3874.2	274.8	7272.2	3627.4	3644.8	641.8	6895.2	3269.4	3625.8	278.2	6449.2	3664	2785.2	614.6
16	3676.2	3288.8	387.4	89.4	4197.2	3703.2	494	175.8	4951.8	3783.4	1168.4	199	4004.2	3555.4	448.8	273	4478.6	3416.8	1061.8	637.6	4400	3415.2	984.8	520.8
17	3579.4	2670.2	909.2	1269.8	3911.2	2781.4	1129.8	639.6	3219	2191.8	1027.2	1119.4	4558.8	2648.6	1910.2	2639.8	5236.2	3450.8	1785.4	2576.8	6776.4	3573.4	3203	2037
18	5150.2	2784.4	2365.8	1599	4712.4	2642.4	2070	727.8	5033.2	2770.2	2263	559.2	3682.2	2361.6	1320.6	561.8	5097.8	2696	2401.8	1092.4	5781	2625	3156	2243.4
19	4854.6	3516.2	1338.4	1310.6	5517.2	3284.8	2232.4	1005.6	6394.6	3744.2	2650.4	491	5190.2	3521.6	1668.6	990.8	4382.2	3011.2	1371	88.8	4448.6	3293.6	1155	327.6
20	3709	3075	634	661	4971.6	3368.8	1602.8	1691.8	4103.8	3225	878.8	106.2	4889.2	3415.2	1474	467.6	4266.8	3288.6	978.2	268.8	4707.6	3378.8	1328.8	212.4
21	4266.4	3852.2	414.2	23.8	4347.4	4082	265.4	0	3721	3422.2	298.8	0	4583	3913	670	22.6	3306.4	3117.6	188.8	0	3635.6	3303.4	332.2	45.4
22	2824.6	2181	643.6	0	1920.8	1717.8	203	0	2228.6	1993.8	234.8	214.4	2841	2102.2	738.8	345.6	2491.6	2006.2	485.4	116	2985.4	2397.2	588.2	487.8
23	3164	2942	222	21	3342	2997	345	0	2989	2821.8	167.2	29.8	3350.2	2998.4	351.8	21.8	3335.6	3171.4	164.2	34.6	3652.6	3356.2	296.4	0
24	2804.8	1773	1031.8	255.4	3144.8	1845.2	1299.6	322	3020.6	1703.4	1317.2	445.6	2771.4	1707.6	1063.8	371	3637.6	1771	1866.6	287.4	4121.4	1869.2	2252.2	425.6
25	3075.6	2618.4	457.2	18.6	3073	2663.6	409.4	426.6	3207.4	2380	827.4	81.8	4293.4	2755.4	1538	173.2	3408.2	2458	950.2	213	3047.4	2626	421.4	536.8
26	3275.8	2791.6	484.2	725.6	3853.4	3021.4	832	817.2	3607.6	2695.6	912	899.6	3361	2751.2	609.8	369.2	4206	2979	1227	1291.2	3884.6	2690.8	1193.8	1452.6
27	2564	2382.8	181.2	18.2	3276.4	2740.6	535.8	90	3584.4	3041.4	543	268	4040	3028.4	1011.6	506.2	3202.2	2645.4	556.8	152.2	3115	2665.2	449.8	187.4
28	5807.2	3935.2	1872	1126.6	5680.2	4120.4	1559.8	831.6	7183.8	4039	3144.8	1725.8	8942.6	4256.4	4686.2	703.6	5895.4	4079.6	1815.8	1112.8	6024.2	3744	2280.2	344
29	3215.6	2449.6	766	53.8	3332.8	2667	665.8	97.6	3428.4	2714.2	714.2	146.4	4281.8	2913.8	1368	87	4109.8	2971.6	1138.2	340.2	3904.2	2990	914.2	180.4
30	4978.8	3704	1274.8	1031.2	5170	3076.6	2093.4	972.6	4212	3167.6	1044.4	663	5419	3809.8	1609.2	1282.4	3454.2	2655	799.2	581.2	5482.8	3141.6	2341.2	1122.8
31	4700.6	3620	1080.6	569.6	4780.4	3308.4	1472	407.8	4930.8	3280.4	1650.4	424.8	4788.8	3152.4	1636.4	408	4730.2	3239	1491.2	1196	5133.2	3443.2	1690	946.4
32	4520.8	3685.4	835.4	676	5618	4089.8	1528.2	234.2	5128	3786.2	1341.8	442	4714	3295.8	1418.2	640	6263	3949.2	2313.8	799.2	5801.6	4000	1801.6	1011.4
33	4213.4	3231.6	981.8	384.2	3955.4	3322.2	633.2	72.4	3874.6	3264.4	610.2	357.8	3919.6	3051.8	867.8	299.4	3450.4	2782.6	667.8	19.8	4010	3322.4	687.6	645.2
35	3801.8	2847.2	954.6	128.6	4257.4	3036.4	1221	386	5006.6	3673.4	1333.2	591	4511	3266	1245	362.6	4466.6	3161.2	1305.4	831.2	4563.4	3608.4	955	832.2
36	7161	4594.4	2566.6	114.8	6013	4628.6	1384.4	296.8	5198.6	4113.8	1084.8	215.8	5469.2	4549.6	919.6	175	6109.8	4664.8	1445	193.6	6283.6	4570.8	1712.8	1055.6
37	3462.4	2983	479.4	100	3100.8	2748.4	352.4	126	3828.6	3015.2	813.4	0	4200	3420.6	779.4	225.2	3545.2	3104.2	441	191.8	4027.6	2896.6	1131	0
38	6170.6	3762.2	2408.4	1865.4	6026	3948	2078	3480.4	6365.25	3764	2601.25	1820.25	7303.333333	3788.222222	3515.111111	2999.111111	5866.6	3389	2477.6	1197	6282.4	3329.2	2953.2	2249.6
39	3306.6	2939.4	367.2	124.8	4032.4	3022.8	1009.6	406.2	4214	3080.4	1133.6	515.2	4559.2	3341	1218.2	710.6	5317.8	3290.8	2027	127.8	5281.8	3243.6	2038.2	692.4
