subject	silence_SVO_first-pass	silence_SVO_progr	silence_SVO_regr	silence_SVO_lookback	silence_OVS_first-pass	silence_OVS_progr	silence_OVS_regrs	silence_OVS_lookback	Italian_SVO_first-pass	Italian_SVO_progr	Italian_SVO_regr	Italian_SVO_lookback	Italian_OVS_first-pass	Italian_OVS_progr	Italian_OVS_regr	Italian_OVS_lookback	Finnish_SVO_first-pass	Finnish_SVO_progr	Finnish_SVO_regr	Finnish_SVO_lookback	Finnish_OVS_first-pass	Finnish_OVS_progr	Finnish_OVS_regr	Finnish_OVS_lookback
1	2584	1853.2	730.8	153.2	2844	2113.6	730.4	550.8	2955.555556	2127.555556	828	786.2222222	3801.777778	2672	1129.777778	1194.222222	4068.4	2534	1534.4	1397.6	3929.6	2708.4	1221.2	1105.6
3	4777.2	3198	1579.2	713.2	5885.2	3614	2271.2	282.8	4062	2992.4	1069.6	360.8	4093.6	2796.8	1296.8	433.2	3724.4	2542.4	1182	28.4	5082.4	3065.2	2017.2	31.2
4	3621.6	2983.2	638.4	140	3503.2	2919.2	584	20	3245.6	2907.2	338.4	53.2	3849.2	3240.8	608.4	25.2	3743.6	3237.2	506.4	0	3673.2	3108	565.2	64
5	3246	2911.6	334.4	1220.4	3407.6	2786.8	620.8	1459.2	3553.2	2616.8	936.4	605.2	5255.2	2806.8	2448.4	768.4	3594	2633.2	960.8	823.6	4918.4	3059.6	1858.8	3101.2
6	3019.2	2861.2	158	0	3507.6	3203.2	304.4	0	3158.8	2971.2	187.6	0	3126.8	2980.8	146	68	3280	3058.8	221.2	0	2980.4	2889.2	91.2	0
7	3050	2871.2	178.8	791.2	3248	2932.4	315.6	663.2	3016.8	2761.6	255.2	1228	2910.8	2722.4	188.4	1496	2630.4	2338.8	291.6	1465.2	3162.8	2815.2	347.6	1534.8
8	4778	3656.8	1121.2	434.4	4352.8	3860.8	492	200.8	5359.6	4214.8	1144.8	966	4023.2	3699.6	323.6	444.4	4245.6	3628.8	616.8	322	4492.8	3754.8	738	300.8
9	5586.4	4339.2	1247.2	882.4	6728.8	5101.2	1627.6	1221.2	4675.6	4067.2	608.4	1140	4254.4	3612.8	641.6	815.2	5058.8	4327.6	731.2	1039.6	5946.8	4490.4	1456.4	479.6
10	4688.4	3360.4	1328	628	4932.8	3379.2	1553.6	787.6	5512.4	3589.2	1923.2	821.2	4407.6	3200.8	1206.8	1427.6	5126	3566.8	1559.2	1260	5686	3714	1972	1389.6
11	3190.4	2868.4	322	14.4	2957.2	2718.4	238.8	44	3608.4	2833.6	774.8	182	3252.4	2736.4	516	59.2	3240.8	2801.6	439.2	0	3999.6	2887.6	1112	18.8
12	3792.4	3104.4	688	2120.8	3723.6	2972.4	751.2	2629.6	4357.2	2904	1453.2	2584	3723.2	2723.6	999.6	2290.8	3831.6	2874.8	956.8	2497.6	3881.6	2730.4	1151.2	2418.4
13	3837.2	3175.2	662	582	3723.2	3208.4	514.8	696	3366.222222	3000.888889	365.3333333	518.6666667	4201.777778	3148.888889	1052.888889	290.2222222	4233.6	3765.2	468.4	724	5076	3961.6	1114.4	582.8
14	4345.2	3337.6	1007.6	247.2	3533.6	3105.2	428.4	1280.8	3564.4	3126	438.4	756.8	4950	3932	1018	803.2	3130.8	2517.2	613.6	1615.6	4075.2	2857.2	1218	248
15	3726.8	2960	766.8	2125.6	4975.6	3385.2	1590.4	3523.2	4516	3179.2	1336.8	1826.4	4169.6	3460.4	709.2	2020.8	4945.6	3484.8	1460.8	2681.2	5297.2	3568	1729.2	2335.2
16	2875.2	2443.6	431.6	38.8	2850	2240.8	609.2	328.8	3048	2696.8	351.2	146.4	3179.6	2770.4	409.2	0	3162.8	2606.8	556	130	2955.6	2685.2	270.4	76.4
17	3371.6	2926.4	445.2	156.8	4870.8	3439.6	1431.2	771.6	3488.4	3221.6	266.8	98.8	3614.8	3067.2	547.6	314.8	3747.2	3105.2	642	382	4575.6	3257.6	1318	47.6
18	4996.4	4128.8	867.6	333.6	5194.8	4177.2	1017.6	747.6	4605.2	3926	679.2	642	5022	4102.4	919.6	41.6	5251.2	4086	1165.2	155.2	4673.6	3863.6	810	267.2
19	5778.8	4985.2	793.6	6395.2	6596	4565.6	2030.4	2995.6	5156.4	4150.4	1006	3249.6	6088.8	4405.6	1683.2	2780.4	6366.4	4602	1764.4	2511.2	6548	5349.6	1198.4	3874
20	3872.8	2614	1258.8	638.4	3480.4	2679.2	801.2	387.2	3939.2	2775.2	1164	512.4	3811.6	2457.6	1354	73.2	3900	2665.6	1234.4	244	4880.8	2793.6	2087.2	578.4
21	4774.4	3943.2	831.2	722	4401.2	3537.2	864	482.4	4290.4	3212	1078.4	0	4478.4	3470	1008.4	706.8	4323.2	3314.8	1008.4	864.4	4465.6	3207.2	1258.4	462
22	4330.8	4015.6	315.2	199.2	4732.4	4251.6	480.8	442.8	5973.6	5044.4	929.2	1104.4	4769.6	3918.8	850.8	972.4	5086	4545.6	540.4	742.8	5850.8	4617.6	1233.2	1531.2
23	4116.8	2766.8	1350	279.6	3756	2878.8	877.2	1009.2	3387.6	2799.6	588	121.2	3788.8	2658.4	1130.4	315.6	3879.2	2944.4	934.8	139.6	4089.6	2556	1533.6	576
24	4084.4	3796.4	288	373.2	4340.4	3714.4	626	869.2	4191.6	3757.2	434.4	553.2	3915.2	3547.2	368	1371.2	3962.4	3438	524.4	1255.6	4364.4	3570.4	794	1324
25	4434.4	3348	1086.4	656.8	4981.6	3433.6	1548	198.8	5726	3856	1870	937.2	6133.2	3680.4	2452.8	764.4	4699.6	3512.4	1187.2	451.6	4649.6	3210.8	1438.8	0
26	4268	3869.6	398.4	130.4	4440.8	3905.6	535.2	0	4291.6	3813.2	478.4	374.4	3883.2	3424.4	458.8	93.2	5080	3830	1250	394.8	4920.4	3786	1134.4	68.4
27	3764	2699.111111	1064.888889	460.4444444	5228.727273	2727.272727	2501.454545	186.5454545	3781.6	2762.8	1018.8	394.8	4112.8	2762	1350.8	352	3582.4	2796	786.4	278.4	4556.4	3011.6	1544.8	368.8
28	5241.6	4082.4	1159.2	1023.6	6958.4	4633.6	2324.8	732.8	5720.4	4162.8	1557.6	531.2	5435.6	3872.8	1562.8	372.8	6912	4143.2	2768.8	280.8	6910	4391.6	2518.4	292
