"","ID","N_C","N_E","sample","cit","year","design","sound","sound_type","db","task","measure","mean_C","var_C","mean_E","var_E","var_type","journal","IF","d","d_var","g","g_var","CI95_L","CI95_R","reference"
"1",1,40,40,"adults","Sörqvist et al. (2010)",2010,"within","speech","native",72.5,"reading comprehension/ select word","num_correct",11.55,2.24,10.58,2.93,"SD","Applied Cognitive Psychology",1.481,-0.354448939662464,0.0136609289195058,-0.249233508600875,0.0131372362853803,-0.572239493186909,-0.122937782022053,"Sörqvist, P., Halin, N., & Hygge, S. (2010). Individual differences in susceptibility to the effects of speech on reading comprehension. Applied Cognitive Psychology, 24(1), 67-76. doi:10.1002/acp.1543"
"5",2,70,66,"children","Ljung et al. (2009)",2009,"between","speech","babble",62,"select word","prop_correct",0.69,0.19,0.72,0.15,"SD","Noise and Health",1.826,0.174657916418041,0.0295493815981393,0.173678526232519,0.0292189158090027,-0.16135488549214,0.508711937957178,"Ljung, R., Sörqvist, P., & Hygge, S. (2009). Effects of road traffic noise and irrelevant speech on children's reading and mathematical performance. Noise and Health, 11(45), 194-198."
"53",25,20,20,"adults","Furnham et al. (1994)",1994,"within","speech","TV drama",NA,"reading comprehension","num_correct",8.65,2.115,7.2,2.32,"SD","Applied Cognitive Psychology",1.481,-0.649204233907491,0.0311243384251229,-0.446882591229709,0.0286841902925933,-0.95518965381937,-0.291282475283013,"Furnham, A., Gunter, B., & Peterson, E. (1994). Television distraction and the performance of introverts and extroverts. Applied Cognitive Psychology, 8(7), 705-711. doi:10.1002/acp.2350080708"
"27",27,28,28,"adults","Halin (2016)",2016,"within","speech",NA,60,"reading comprehension (easy font)","prop_correct",0.536700219208289,0.0294269958441374,0.402390316970359,0.0228886121201209,"SE","Frontiers in Psychology",2.463,-0.754849330786213,0.0261701074023746,-0.526078672993663,0.024723196931093,-0.834261465067599,-0.217895880919727,"Halin, N. (2016). Distracted While Reading? Changing to a Hard-to-Read Font Shields against the Effects of Environmental Noise and Speech on Text Memory. Frontiers in Psychology, 7."
"64",29,30,30,"adults","Cauchard et al. (2012)",2012,"within","speech","native",65,"reading comprehension","prop_correct",0.87,0.03,0.82,0.04,"SE","Applied Cognitive Psychology",1.481,-0.244455723598339,0.0176500847364645,-0.170710900210787,0.0167412221500349,-0.4916788524095,0.0155216168788233,"Cauchard, F., Cane, J. E., & Weger, U. W. (2012). Influence of Background Speech and Music in Interrupted Reading: An Eye-Tracking Study. Applied Cognitive Psychology, 26(3), 381-390."
"33",33,36,36,"adults","Martin et al. (1988), Exp.1",1988,"within","speech",NA,82,"reading comprehension","perc_correct",72.1,NA,63.9,NA,NA,"Journal of Memory and Language",5.218,-0.26769337796998,0.0147953869652787,-0.187803030578515,0.0141636290725011,-0.421064680758995,0.0454586196019644,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
"35",35,48,48,"adults","Martin et al. (1988), Exp.4",1988,"within","speech",NA,82,"reading comprehension","perc_correct",69.4,NA,60.8,NA,NA,"Journal of Memory and Language",5.218,-0.327044857035766,0.0113534995306887,-0.230740803453221,0.0109921381827046,-0.436233864267152,-0.0252477426392896,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
"88",36,48,48,"adults","Martin et al. (1988), Exp.5",1988,"within","speech",NA,82,"reading comprehension","perc_correct",67.5,NA,55.55,NA,NA,"Journal of Memory and Language",5.218,-0.379827413076349,0.011532462757926,-0.267980616668772,0.0111654053342201,-0.475086920609381,-0.0608743127281635,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
"93",37,9,9,"children","Cool et al. (1994), Exp.2",1994,"within","speech","movies",NA,"reading comprehension","prop_correct",84,13.8,79.39,13.55,"SD","The Journal of Experimental Education",1.638,-0.337016072483784,0.0603709307443884,-0.218266865016193,0.0492516230006249,-0.739378664882235,0.130575437169593,"Cool, V. A., Yarbrough, D. B., Patton, J. E., Runde, R., & Keith, T. Z. (1994). Experimental effects of radio and television distractors on children's performance on mathematics and reading assignments. The Journal of experimental education, 62(3), 181-194"
"39",39,33,62,"adults","Armstrong et al. (1991)",1991,"between","speech",NA,NA,"reading comprehension","reading_score",9.23,NA,7.775,NA,NA,"Communications Monographs",2.029,-0.563489398535337,0.0651298595328283,-0.556628898794135,0.0635562820535566,-1.050752176061,-0.062505621527274,"Armstrong, G. B., Boiarsky, G. A., & Mares, M. L. (1991). Background television and reading performance. Communications Monographs, 58(3), 235-253."
"97",40,30,30,"children","Pool et al. (2000), Exp.1",2000,"between","speech","TV soap opera (native)",60,"reading comprehension","prop_correct",0.755,0.095,0.72,0.085,"SD","Communication Research",1.976,-0.388290137357661,0.0679230769230769,-0.383247408301068,0.0661702972352323,-0.88742973034228,0.120934913740144,"Pool, M. M., Van der Voort, T. H., Beentjes, J. W., & Koolstra, C. M. (2000). Background television as an inhibitor of performance on easy and difficult homework assignments. Communication Research, 27(3), 293-326."
"101",41,48,24,"children","Pool et al. (2000), Exp.2",2000,"between","speech","TV soap opera (native)",60,"reading comprehension","prop_correct",0.76,0.105,0.69,0.15,"SD","Communication Research",1.976,-0.575486729631403,0.0647998956665406,-0.569298700280528,0.0634138417067406,-1.06286796016268,-0.0757294403983766,"Pool, M. M., Van der Voort, T. H., Beentjes, J. W., & Koolstra, C. M. (2000). Background television as an inhibitor of performance on easy and difficult homework assignments. Communication Research, 27(3), 293-326."
"43",43,42,42,"adults","Hyönä & Ekholm (2016), Exp.1",2016,"within","speech",NA,82.5,"reading comprehension","perc_correct",78,15,76.25,13.75,"SD","PloS One",3.057,-0.122892538370878,0.0124263150306057,-0.0864965435332311,0.0119731139592572,-0.300963125046255,0.127970037979793,"Hyönä, J., & Ekholm, M. (2016). Background Speech Effects on Sentence Processing during Reading: An Eye Movement Study. PloS one, 11(3), e0152133."
"117",47,19,20,"adults","Armstrong & Chung (2000)",2000,"between","speech","native",NA,"reading comprehension","num_correct",7.84,1.46,7.7,1.49,"SD","Communication Research",1.976,-0.094884273848406,0.102747002350237,-0.0929478600963977,0.0985960405726554,-0.708387986724418,0.522492266531622,"Armstrong, G. B., & Chung, L. (2000). Background Television and Reading Memory in Context Assessing TV Interference and Facilitative Context Effects on Encoding Versus Retrieval Processes. Communication Research, 27(3), 327-352."
"120",50,23,23,"children","Sörqvist (2010), Exp.1b",2010,"within","speech","native",57.5,"reading comprehension","prop_correct",0.28,0.16,0.17,0.11,"SD","Journal of Environmental Psychology",2.647,-0.733945451904078,0.028374691811054,-0.508118113618723,0.026451555743004,-1.02741009943071,-0.389863876659924,"Sörqvist, P. (2010). Effects of aircraft noise and speech on prose memory: What role for working memory capacity?. Journal of Environmental Psychology, 30(1), 112-118."
"121",51,24,24,"adults","Sörqvist et al. (2010), Exp.1",2010,"within","speech","native",65,"reading comprehension","prop_correct",0.61,0.17,0.49,0.19,"SD","Memory",1.976,-0.659798980584329,0.0260854983854823,-0.457502824999556,0.0243939257936451,-0.944171042364275,-0.331923689315306,"Sörqvist, P., Ljungberg, J. K., & Ljung, R. (2010). A sub-process view of working memory capacity: Evidence from effects of speech on prose memory. Memory, 18(3), 310-326."
"122",52,42,42,"adults","Sörqvist et al. (2010), Exp.2",2010,"within","speech","native",65,"reading comprehension","prop_correct",0.54,0.15,0.47,0.17,"SD","Memory",1.976,-0.431819157249458,0.0133827546782078,-0.303931101339853,0.012894671224439,-0.646438788896681,-0.201304341899801,"Sörqvist, P., Ljungberg, J. K., & Ljung, R. (2010). A sub-process view of working memory capacity: Evidence from effects of speech on prose memory. Memory, 18(3), 310-326."
"123",53,32,32,"adults","Halin et al. (2014)",2014,"within","speech","native",65,"reading comprehension","prop_correct",59.63,NA,56.265,NA,NA,"Journal of Applied Research in Memory and Cognition",2.063,-0.149442206425368,0.0162462977727772,-0.104541870337876,0.0154634601049634,-0.389527511379066,0.0979329622563968,"Halin, N., Marsh, J. E., Hellman, A., Hellström, I., & Sörqvist, P. (2014). A shield against distraction. Journal of Applied Research in Memory and Cognition, 3(1), 31-36."
"131",57,24,24,"adults","Baker & Madell (1965)",1965,"within","speech","native",NA,"reading comprehension","perc_correct",79.5,18.9,49,31.5,"SD","Journal of Educational Psychology",3.256,-1.01433790824973,0.0324431302330294,-0.703339156597984,0.030339282758674,-1.32229443107126,-0.639501962906235,"Baker, R. W., & Madell, T. O. (1965). A continued investigation of susceptibility to distraction in academically underachieving and achieving male college students.Journal of Educational Psychology,56(5), 254"
"58",58,40,40,"adults","Vasilev et al. (n.d.)",2016,"within","speech",NA,60,"reading comprehension","perc_correct",0.9363636,0.2443819,0.92045455,0.2700758,"SD","NA",NA,-0.0592700966274472,0.0128868817680626,-0.0416762260641512,0.0123928622838426,-0.25986976343318,0.176517311304878,"Vasilev et al. (n.d.). Unpublished study."
